Tweet ID,Author ID,Tanggal,Isi Tweet,Retweet Count,Reply Count,Like Count,Quote Count
1917175246639255913,1741336428750258176,2025-04-29T11:12:52.000Z,"RT @Srik4ndiMuslim2: Jokowi mendunia lagi. 

Setelah Finalis koruptor OCCRP pada 31/12/2024, Jokowi masuk berita Kampus Sedunia dengan isu…",766,0,0,0
1917175244802129926,1440110418031042563,2025-04-29T11:12:52.000Z,RT @Andria75777: HASIL PENGECEKKAN SECARA FORENSIK  IJAZAH MULYONO 100% PALSU https://t.co/6lnkHeDI0z,336,0,0,0
1917175222157132078,1236288506760056833,2025-04-29T11:12:47.000Z,"RT @democrazymedia: Pakar Hukum Pidana: Jika Benar Ijazah Palsu, Jokowi hingga KPU Dapat 'Diseret' ke Penjara!
https://t.co/8rOXOCGUFR",727,0,0,0
1917175145397100819,1440110418031042563,2025-04-29T11:12:28.000Z,"RT @Srik4ndiMuslim2: Jokowi mendunia lagi. 

Setelah Finalis koruptor OCCRP pada 31/12/2024, Jokowi masuk berita Kampus Sedunia dengan isu…",766,0,0,0
1917175121162441108,2918278194,2025-04-29T11:12:22.000Z,"RT @Zay34562: Sidang perdana gugatan ijazah palsu Jokowi di PN Surakarta 24/4/2025 menghasilkan usulan mediasi

""Kami minta tergugat 1 yait…",27,0,0,0
1917175073070526801,1913031727368597504,2025-04-29T11:12:11.000Z,"RT @PngAdilnR4kyt: SINDIKAT IJAZAH PALSU JOKOWI MASIH TERUS MEMANIPULASI KEBOHONGAN IJAZAH JOKOWI...

SALAH SATU YANG MENGAGETKAN BAHWA DAT…",145,0,0,0
1917175039344124261,1473390005347250179,2025-04-29T11:12:03.000Z,@Jangkrikgengg15 @Enggang_Kaltim @BelengBeleng687 @Yoechan_ @DolfieOtay @baronko_cole @b3l4h4nh4t1ku_ @TukuQ_86300 @A5l1n9_4la_m_ @ArdieSuhardi321 @OktermanLkmn @se_raden997370 @PahetKopi28207 @FreeStranger13 @secr3thm4nz56 @4nw4r__84 @C1ntaT4nahA1r3_ @Anto1157 @perangutan23 @Udinsam_dua @Darmara02177184 @sampalle @bale_imut @Al355555 @NunutUswatun @Sumanto59653397 @RENIEKA2012 @Amans4 @dankelha @KiYang4343 @toniwahyudi21 @NawawiAlMaroni @RusdiridwanS @abah_mumtaz @dewimajid4 @syeifm @MentriGoblok35 @OdriSeva @irawanjayakarta @FitraYouse @InonkIskandar88 @TioSat6 @haje_naja @Nabilla_Safina @Jamlean_Saleh @Satria889482637 @Sephia____ @Gant1Pres1den @abee45472430357 @MandiriWor50657 BALADA IJAZAH PALSU https://t.co/uKQ5AOUbmH,0,0,0,0
1917174984256151627,1499383196278222853,2025-04-29T11:11:50.000Z,RT @Andria75777: HASIL PENGECEKKAN SECARA FORENSIK  IJAZAH MULYONO 100% PALSU https://t.co/6lnkHeDI0z,336,0,0,0
1917174942191571430,2918278194,2025-04-29T11:11:40.000Z,"RT @Srik4ndiMuslim2: Prabowo menyembunyikan sesuatu yang sangat busuk.

Prabowo melarang media meliput pidatonya tentang Danantara pada 28/…",46,0,0,0
1917174884167549002,1741336428750258176,2025-04-29T11:11:26.000Z,"RT @DokterTifa: Dugaan Ijazah Palsu sudah sampai di Media Internasional.

Jokowi sejak sekarang harus menghitung langkah, sebab sebetulnya…",701,0,0,0
1917174877506920512,1710193281701961728,2025-04-29T11:11:24.000Z,"RT @democrazymedia: Waduh! Kasus Ijazah Palsu dan ESEMKA Jokowi Dilirik Media Internasional
https://t.co/rxxgkwnZ1T",137,0,0,0
1917174866824052856,1775213724330332161,2025-04-29T11:11:22.000Z,RT @_riverheaven: SUGIK NUR sudah bebas. Untuk kasus ijazah palsu Jokowi saya ada dipihak Sugik Nur dan Bambang Tri. Ayo bicara kebenaran.…,205,0,0,0
1917174781180535176,1557411836592799744,2025-04-29T11:11:01.000Z,"RT @Zay34562: Sidang perdana gugatan ijazah palsu Jokowi di PN Surakarta 24/4/2025 menghasilkan usulan mediasi

""Kami minta tergugat 1 yait…",27,0,0,0
1917174742559465883,1755090042786357248,2025-04-29T11:10:52.000Z,"RT @democrazymedia: Waduh! Kasus Ijazah Palsu dan ESEMKA Jokowi Dilirik Media Internasional
https://t.co/rxxgkwnZ1T",137,0,0,0
1917174715929755893,1085384704889704448,2025-04-29T11:10:46.000Z,"RT @Srik4ndiMuslim2: Jokowi mendunia lagi. 

Setelah Finalis koruptor OCCRP pada 31/12/2024, Jokowi masuk berita Kampus Sedunia dengan isu…",766,0,0,0
1917174635105493110,1880949115842072576,2025-04-29T11:10:27.000Z,"RT @DokterTifa: Sekarang giliran Prof Amin Rais yang dilaporkan buntut isu ijazah palsu.

Lama-lama Jokowi jadi sasaran tukang palak para…",761,0,0,0
1917174620685480336,1661944375335854082,2025-04-29T11:10:23.000Z,"RT @PngAdilnR4kyt: SINDIKAT IJAZAH PALSU JOKOWI MASIH TERUS MEMANIPULASI KEBOHONGAN IJAZAH JOKOWI...

SALAH SATU YANG MENGAGETKAN BAHWA DAT…",145,0,0,0
1917174485951889530,1714692943628668928,2025-04-29T11:09:51.000Z,"RT @democrazymedia: Waduh! Kasus Ijazah Palsu dan ESEMKA Jokowi Dilirik Media Internasional
https://t.co/rxxgkwnZ1T",137,0,0,0
1917174401105297647,1676491291046313984,2025-04-29T11:09:31.000Z,@Franken_blues Kalian bilang ijazah jokowi palsu ya harus berani dong tanggungjawab,0,0,0,0
